record_id,ສະພາບເຕັກນິກ,vehicle_id,ຊະນິດລົດທີ່ເກີດອຸປະຕິເຫດ,ປະເພດລົດ
ee5c6bd5-7ce0-4bf0-960f-768375281db7,1. ດີ,190d9dc5-346e-4288-9f7e-982810b9c07a,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈິບ
bf6ff25c-cfb1-406d-adbd-3d344ca02530,1. ດີ,8a3b5eaf-fc95-4703-8c91-728e340b8516,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດກະບະ
c904668d-7d42-4b40-99fb-2dc0e3f8b859,1. ດີ,722ae5f1-4446-40c0-b221-bdb3183fba55,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈັກ
c904668d-7d42-4b40-99fb-2dc0e3f8b859,2. ບໍ່ດີ,f15ff813-9e61-4ee1-b9dd-7c626591d110,2. ລົດເກົ່າຫຼີ,ລົດບັນທຸກ
03abff99-eea3-4d7f-8f46-160fe572a955,1. ດີ,150d209f-c151-47de-b73e-2801fc805da5,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈັກ
03abff99-eea3-4d7f-8f46-160fe572a955,1. ດີ,fed0cb37-b321-498b-abea-be4a8a7f172f,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈັກ
4177ed3a-64a3-45e5-8706-e6fba110116b,1. ດີ,53b1e9a4-2cca-4e85-96e2-982f8bda65a1,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈັກ
4177ed3a-64a3-45e5-8706-e6fba110116b,1. ດີ,9d1f5038-2d81-418a-9715-1b57463f7820,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈັກ
6cc43f43-8180-4c88-ae3b-c18142f14281,1. ດີ,944a0c29-8e93-4862-8daf-cbfb7ad760e1,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດກະບະ
8891638d-4164-4e4a-bf14-9216a727b375,1. ດີ,8c6145e8-cc99-4a67-a189-d0879954f004,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດກະບະ
8891638d-4164-4e4a-bf14-9216a727b375,1. ດີ,c2e7bf4b-c7d3-4feb-8a55-4ad24a42388e,2. ລົດເກົ່າຫຼີ,ລົດຈັກ
c63a2bfa-b2b6-4c9c-bcca-bcc24cc43df5,1. ດີ,fa0970a6-3260-40a8-a87c-38173b78e6a6,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈິບ
c63a2bfa-b2b6-4c9c-bcca-bcc24cc43df5,1. ດີ,41825128-8a8f-45e0-8513-0cac526a4ab8,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈັກ
4048ac9a-92c1-40d0-b038-b4aeea7c38cf,1. ດີ,c3fe0786-dc51-433c-a11a-2021f6d13bc0,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດກະບະ
4048ac9a-92c1-40d0-b038-b4aeea7c38cf,1. ດີ,b6daf7e7-1599-48a8-b401-3bdfcd987b84,3. ລົດໄທ-ຢີ່ປຸ່ນ,ລົດຈັກ
f80936b9-555b-464b-9d6e-565c1b1a275c,1. ດີ,2a1aeeea-02f6-4864-8b54-9c34b18a96ae,1. ລົດຈີນ,ລົດຈັກ
